product_slug,product_name,description,category,attribute_name,attribute_value,sku,regular_price,sale_price,stock_quantity,stock_status,heat_level,product_image_path,variation_image_path,tax_class,shipping_class,weight,length,width,height,catalogue_item_number,moq,source_page,catalogue_status,import_note
jerk-seasoning,Jerk Seasoning,"An authentic jerk marinade bursting with pimento, thyme, scallion, and Scotch Bonnet heat - crafted to deliver that unmistakable yard-style flavour. Deep marinade penetration. True traditional recipe. Perfect for grilling and roasting.",Seasonings,Size / Packaging,10 oz - Jar,852301-IZE-JS-10OZ-JAR,900,900,0,outofstock,hot,/opt/izelena/product-images/jerk-seasoning.jpg,/opt/izelena/product-images/jerk-seasoning.jpg,standard,standard,0,0,0,0,852301-IZE-JS,1 Case of 12,4,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
jerk-seasoning,Jerk Seasoning,"An authentic jerk marinade bursting with pimento, thyme, scallion, and Scotch Bonnet heat - crafted to deliver that unmistakable yard-style flavour. Deep marinade penetration. True traditional recipe. Perfect for grilling and roasting.",Seasonings,Size / Packaging,18 oz - Bottle,852301-IZE-JS-18OZ-BOTTLE,1400,1400,0,outofstock,hot,/opt/izelena/product-images/jerk-seasoning.jpg,/opt/izelena/product-images/jerk-seasoning.jpg,standard,standard,0,0,0,0,852301-IZE-JS,1 Case of 12,4,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
jerk-seasoning,Jerk Seasoning,"An authentic jerk marinade bursting with pimento, thyme, scallion, and Scotch Bonnet heat - crafted to deliver that unmistakable yard-style flavour. Deep marinade penetration. True traditional recipe. Perfect for grilling and roasting.",Seasonings,Size / Packaging,1 Gallon - Bulk,852301-IZE-JS-1GAL-BULK,6500,6500,0,outofstock,hot,/opt/izelena/product-images/jerk-seasoning.jpg,/opt/izelena/product-images/jerk-seasoning.jpg,standard,standard,0,0,0,0,852301-IZE-JS,1 Case of 12,4,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
jerk-bbq-sauce,Jerk BBQ Sauce,"A bold fusion of classic BBQ sweetness and jerk spice, delivering a rich, smoky glaze perfect for meats and wings. Dual flavour profile (sweet and heat). Excellent for grilling and dipping. High customer appeal.",Sauces,Size / Packaging,80 ml - Sachet,273939-IZE-JB-80ML-SACHET,150,150,0,outofstock,medium,18,18,standard,standard,0,0,0,0,273939-IZE-JB,1 Case of 24,4,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
jerk-bbq-sauce,Jerk BBQ Sauce,"A bold fusion of classic BBQ sweetness and jerk spice, delivering a rich, smoky glaze perfect for meats and wings. Dual flavour profile (sweet and heat). Excellent for grilling and dipping. High customer appeal.",Sauces,Size / Packaging,5 oz - Bottle,273939-IZE-JB-5OZ-BOTTLE,500,500,0,outofstock,medium,18,18,standard,standard,0,0,0,0,273939-IZE-JB,1 Case of 24,4,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
jerk-bbq-sauce,Jerk BBQ Sauce,"A bold fusion of classic BBQ sweetness and jerk spice, delivering a rich, smoky glaze perfect for meats and wings. Dual flavour profile (sweet and heat). Excellent for grilling and dipping. High customer appeal.",Sauces,Size / Packaging,18 oz - Bottle,273939-IZE-JB-18OZ-BOTTLE,1500,1500,0,outofstock,medium,18,18,standard,standard,0,0,0,0,273939-IZE-JB,1 Case of 24,4,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
mango-salsa,Mango Salsa,"A smooth tropical mango sauce with a mild finish - perfect for dipping, glazing, and pairing with snacks or meats. Family-friendly flavour. Versatile sweet pairing. Appeals to a wide market.",Sauces,Size / Packaging,80 ml - Sachet,307559-IZE-MS2-80ML-SACHET,140,140,0,outofstock,mild,19,19,standard,standard,0,0,0,0,307559-IZE-MS2,1 Case of 12,6,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
mango-salsa,Mango Salsa,"A smooth tropical mango sauce with a mild finish - perfect for dipping, glazing, and pairing with snacks or meats. Family-friendly flavour. Versatile sweet pairing. Appeals to a wide market.",Sauces,Size / Packaging,10 oz - Jar,307559-IZE-MS2-10OZ-JAR,850,850,0,outofstock,mild,19,19,standard,standard,0,0,0,0,307559-IZE-MS2,1 Case of 12,6,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
mango-salsa,Mango Salsa,"A smooth tropical mango sauce with a mild finish - perfect for dipping, glazing, and pairing with snacks or meats. Family-friendly flavour. Versatile sweet pairing. Appeals to a wide market.",Sauces,Size / Packaging,1 Gallon - Bulk,307559-IZE-MS2-1GAL-BULK,6000,6000,0,outofstock,mild,19,19,standard,standard,0,0,0,0,307559-IZE-MS2,1 Case of 12,6,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
spicy-mango-salsa,Spicy Mango Salsa,"A bold combination of ripe mango sweetness and pepper heat, delivering a perfectly balanced sweet-spicy kick. Unique flavour profile. Strong appeal for younger market. Great for wings and fusion dishes.",Sauces,Size / Packaging,80 ml - Sachet,521771-IZE-MS3-80ML-SACHET,150,150,0,outofstock,medium,20,20,standard,standard,0,0,0,0,521771-IZE-MS3,1 Case of 12,6,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
spicy-mango-salsa,Spicy Mango Salsa,"A bold combination of ripe mango sweetness and pepper heat, delivering a perfectly balanced sweet-spicy kick. Unique flavour profile. Strong appeal for younger market. Great for wings and fusion dishes.",Sauces,Size / Packaging,10 oz - Jar,521771-IZE-MS3-10OZ-JAR,900,900,0,outofstock,medium,20,20,standard,standard,0,0,0,0,521771-IZE-MS3,1 Case of 12,6,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
spicy-mango-salsa,Spicy Mango Salsa,"A bold combination of ripe mango sweetness and pepper heat, delivering a perfectly balanced sweet-spicy kick. Unique flavour profile. Strong appeal for younger market. Great for wings and fusion dishes.",Sauces,Size / Packaging,1 Gallon - Bulk,521771-IZE-MS3-1GAL-BULK,6200,6200,0,outofstock,medium,20,20,standard,standard,0,0,0,0,521771-IZE-MS3,1 Case of 12,6,available,"Stock, dimensions, tax, and shipping values pending client approval; imported as draft and out of stock."
